data,open,high,low,close
1,3465.3 ,3466.6 ,3464.0 ,3465.7 
2,3465.6 ,3466.1 ,3461.8 ,3462.5 
3,3462.5 ,3463.6 ,3461.8 ,3463.0 
4,3463.2 ,3463.2 ,3452.5 ,3453.1 
5,3453.3 ,3455.2 ,3451.9 ,3454.0 
6,3453.7 ,3456.1 ,3453.7 ,3454.7 
7,3454.6 ,3455.0 ,3450.9 ,3453.7 
8,3453.7 ,3454.5 ,3451.1 ,3454.4 
9,3454.5 ,3457.0 ,3453.7 ,3456.8 
10,3456.8 ,3457.4 ,3454.9 ,3455.3 
11,3455.3 ,3455.8 ,3453.9 ,3454.6 
12,3454.6 ,3454.7 ,3453.4 ,3454.5 
13,3454.5 ,3455.2 ,3453.5 ,3454.2 
14,3454.2 ,3454.6 ,3453.1 ,3453.9 
15,3453.9 ,3454.9 ,3453.3 ,3454.7 
16,3454.7 ,3455.4 ,3454.2 ,3454.5 
17,3454.6 ,3455.0 ,3453.5 ,3453.5 
18,3453.5 ,3454.4 ,3452.7 ,3453.5 
19,3453.7 ,3454.5 ,3453.4 ,3453.9 
20,3453.9 ,3455.2 ,3453.7 ,3455.2 
21,3455.2 ,3457.1 ,3454.7 ,3455.1 
22,3454.9 ,3455.6 ,3454.4 ,3454.5 
23,3454.7 ,3456.0 ,3453.7 ,3453.7 
24,3453.9 ,3455.0 ,3453.8 ,3454.8 
25,3454.6 ,3455.1 ,3454.1 ,3454.3 
26,3454.3 ,3454.6 ,3453.2 ,3453.7 
27,3453.7 ,3453.7 ,3452.2 ,3452.6 
28,3452.5 ,3452.7 ,3451.2 ,3451.6 
29,3451.6 ,3452.2 ,3451.3 ,3451.4 
30,3451.4 ,3452.1 ,3450.9 ,3451.9 
31,3452.0 ,3452.0 ,3451.0 ,3451.2 
32,3451.4 ,3451.7 ,3450.9 ,3450.9 
33,3450.9 ,3451.2 ,3450.2 ,3450.9 
34,3450.9 ,3451.0 ,3449.3 ,3449.8 
35,3449.8 ,3450.6 ,3449.6 ,3450.2 
36,3450.4 ,3450.5 ,3449.5 ,3450.5 
37,3450.5 ,3455.0 ,3450.5 ,3454.3 
38,3454.3 ,3457.9 ,3454.3 ,3456.5 
39,3456.4 ,3458.6 ,3456.1 ,3456.9 
40,3456.9 ,3458.3 ,3456.5 ,3457.6 
41,3458.3 ,3458.3 ,3456.6 ,3457.6 
42,3457.6 ,3457.6 ,3455.5 ,3455.8 
43,3455.7 ,3456.9 ,3455.3 ,3456.1 
44,3456.3 ,3456.3 ,3455.4 ,3455.6 
45,3455.6 ,3466.0 ,3455.6 ,3465.9 
46,3465.3 ,3466.5 ,3464.9 ,3465.3 
47,3465.3 ,3465.8 ,3463.5 ,3464.2 
48,3464.2 ,3465.4 ,3464.1 ,3464.2 
49,3464.4 ,3467.1 ,3461.7 ,3461.8 
50,3461.8 ,3463.2 ,3461.6 ,3462.7 
51,3462.7 ,3463.1 ,3460.0 ,3460.6 
52,3460.6 ,3461.4 ,3457.8 ,3458.1 
53,3458.5 ,3459.3 ,3457.6 ,3459.1 
54,3459.1 ,3460.1 ,3457.0 ,3457.2 
55,3457.3 ,3459.0 ,3456.9 ,3458.3 
56,3458.4 ,3458.6 ,3455.2 ,3457.0 
57,3457.1 ,3457.2 ,3452.7 ,3452.7 
58,3452.6 ,3453.3 ,3451.5 ,3452.1 
